correct,wrong1,wrong2,wrong3,age,priority,mode
diaper,wet,arm,clock,19,0,2
arm,ride,puppy,nose,21,0,2
finger,bubbles,juice,cake,21,0,2
hair,bubbles,coat,wet,19,0,2
hand,egg,tissue,up,21,0,2
head,chair,grandma,bottle,21,1,2
mouth,diaper,bucket,popcorn,19,0,2
toe,light,strawberry,milk,21,0,2
blanket,firetruck,rain,monkey,20,0,2
bottle,broken,think,comb,19,0,2
cup,bubbles,diaper,candy,19,0,2
light,noisy,kick,clown,20,0,2
spoon,tissue,bunny,butterfly,19,0,2
telephone,soap,fish,wolf,21,0,2
bed,grandma,keys,horse,20,0,2
chair,pizza,police,comb,21,0,2
door,yes,bite,daddy,20,0,2
potty,up,bucket,penguin,21,0,2
flower,arm,soap,cake,19,0,2
moon,keys,flower,sweater,21,0,2
star,sink,toothbrush,present,21,0,2
tree,cat,hello,thanks,20,0,2
drink,toothbrush,police,ankle,21,0,2
eat,boots,blue,tissue,19,1,2
go,bubbles,star,hush,19,0,2
kiss,monkey,down,lamp,21,0,2
cold,chocolate,paper,hair,21,0,2
down,kitchen,monkey,fish,19,1,2
bee,bug,pillow,think,20,0,2
frog,ball,egg,hello,22,0,3
monkey,melon,go,grape,22,0,3
train,crayon,turn around,yes,22,0,3
bread,paper,melon,turtle,22,0,3
cake,home,chase,go,22,0,3
cereal,blanket,eye,leg,22,0,3
egg,truck,clock,bucket,22,0,3
grape,hamburger,toe,hair,22,0,3
ice cream,baby,bed,cereal,22,1,3
pizza,TV,egg,duck,22,0,3
boots,jump,bread,hand,22,0,3
coat,melon,blue,pour,22,0,3
pants,cow,bottle,rock,22,0,3
shirt,chair,eat,soap,22,0,3
sock,apple,airplane,money,22,0,3
foot,sit,hair,light,22,0,3
knee,crayon,paper,ice cream,22,0,3
tooth,tissue,penguin,beach,22,0,3
box,coat,eat,playground,22,0,3
brush,strawberry,wait,noisy,22,0,3
fork,dark,house,crayon,22,0,3
paper,sit,daddy,chair,22,1,3
pillow,wet,frog,drawer,22,0,3
toothbrush,crayon,walk,keys,22,0,3
TV,head,bird,out,22,0,3
rain,dark,hug,bite,22,0,3
rock,dog,penguin,pig,22,0,3
swing,broken,cold,kick,22,0,3
home,hand,baby,bubbles,22,0,3
house,banana,cake,pick,22,0,3
bite,sink,cereal,hat,22,0,3
hug,up,morning,play,22,1,3
play,gloves,tongue,cookie,22,0,3
read,jump,pizza,bear,22,0,3
sit,fork,hair,lady,22,0,3
walk,knee,beach,tongue,22,0,3
dirty,milk,kitchen,movie,22,1,3
yucky,milk,drink,down,22,0,3
out,lion,turtle,hug,22,0,3
sweater,pick,pizza,lion,22,0,3
chicken,yucky,potty,TV,22,0,4
elephant,cereal,think,write,22,0,4
crayon,egg,tissue,tooth,22,0,4
candy,cow,horse,tooth,22,0,4
yogurt,bug,balloon,head,22,0,4
leg,cereal,grandpa,shake,22,0,4
soap,kitty,puppy,cake,22,0,4
nap,toy,giraffe,hair,22,0,4
help,beach,horse,cookie,22,0,4
jump,frog,playground,sock,22,0,4
blue,shake,hurry,truck,22,0,4
wet,beach,hand,toothbrush,22,0,4
tongue,soap,swing,boots,22,1,4
butterfly,morning,eat,bed,23,0,4
lion,bus,teddybear,toothbrush,23,0,4
turtle,telephone,door,coat,23,0,4
keys,cracker,popcorn,bear,24,0,4
giraffe,cow,cookie,horse,24,0,4
teddybear,pig,grape,wolf,23,0,4
tiger,hi,hat,yucky,23,0,4
zebra,swing,pillow,help,24,0,4
firetruck,thirsty,bed,tongue,24,0,4
present,duck,bird,airplane,24,0,4
chocolate,bug,bus,shoe,24,0,4
popcorn,sweater,house,sit,24,0,4
strawberry,hat,soap,foot,23,0,4
clock,eye,elephant,book,23,1,4
money,fish,ball,lamp,23,0,4
plate,cracker,no,crayon,23,0,4
tissue,shoe,eat,flower,24,0,4
kitchen,cookie,house,cup,23,0,4
kick,mommy,chair,leg,24,0,4
ride,drawer,help,pick,23,1,4
broken,kitty,no,juice,23,1,4
hurt,hamburger,firetruck,tongue,24,0,4
noodles,candy,hamburger,cookie,24,0,4
snowman,lady,carrots,playground,24,0,4
owl,bear,wolf,butterfly,24,0,4
paint,broken,ride,plate,24,0,4
carrots,strawberry,fork,melon,24,0,4
hamburger,cat,grandpa,hush,25,1,5
shorts,comb,apple,shirt,25,0,5
bucket,TV,mouth,hurt,26,0,5
comb,yes,knee,kitty,25,0,5
scissors,bug,hamburger,hat,25,0,5
drawer,pig,train,kitchen,27,0,5
sink,cat,shirt,ankle,25,0,5
cloud,play,strawberry,chase,26,0,5
beach,hot,milk,monkey,27,0,5
give me five,grandma,yogurt,grape,25,0,5
turn around,keys,door,ride,26,0,5
climb,fish,night,sink,25,1,5
feed,giraffe,light,boat,26,0,5
pour,bread,nap,money,27,0,5
smile,car,crayon,bread,27,0,5
wait,boat,money,bubbles,26,0,5
write,chicken,cow,bucket,27,0,5
dark,wait,yes,popcorn,25,0,5
sick,bee,turn around,scissors,26,0,5
thirsty,horse,hush,boots,26,0,5
penguin,hush,kiss,hot,28,0,5
wolf,rock,ride,chair,28,0,5
melon,blanket,leg,cracker,28,0,5
gloves,brush,daddy,toe,28,0,5
slipper,bottle,smile,shirt,26,0,5
ankle,ice cream,brush,cow,30,0,5
lamp,eye,pig,TV,28,0,5
movie,nose,slipper,cold,28,1,5
playground,lion,hamburger,hair,28,0,5
clown,beach,fork,shake,28,0,5
lady,juice,wait,balloon,28,0,5
police,cracker,shoe,eat,28,0,5
chase,coat,ice cream,tooth,28,0,5
hurry,zebra,teddybear,yogurt,26,0,5
pick,keys,shoe,daddy,28,0,5
shake,dog,bee,movie,26,0,5
think,mommy,bee,comb,30,0,5
noisy,cat,TV,yes,28,0,5
morning,pig,crayon,money,28,0,5
on top of,grandma,door,coat,29,1,5
