id,correct,wrong1,wrong2,wrong3,level,age,fix,group
74,go,bubbles,star,hush,2,19,0,0
75,kiss,monkey,down,lamp,2,21,0,0
76,cold,chocolate,paper,hair,2,21,0,0
77,down,kitchen,monkey,fish(animal),2,19,1,0
78,bee,bug,pillow,think,3,20,0,0
79,butterfly,morning,eat,bed,3,23,0,0
80,chicken,yucky,potty,TV,3,22,0,0
81,elephant,cereal,think,write,3,22,0,0
82,frog,ball,egg,hello,3,22,0,0
83,lion,bus,teddybear,toothbrush,3,23,0,0
84,monkey,melon,go,grape,3,22,0,0
85,turtle,telephone,door,coat,3,23,0,0
86,train,crayon,turn around,yes,3,22,0,0
87,crayon,egg,tissue,tooth,3,22,0,0
88,bread,paper,melon,turtle,3,22,0,0
89,cake,home,chase,go,3,22,0,0
90,candy,cow,horse,tooth,3,22,0,0
91,cereal,blanket,eye,leg,3,22,0,0
92,egg,truck,clock,bucket,3,22,0,0
93,fish(food),bug,balloon,head,3,22,0,0
94,grape,hamburger,toe,hair,3,22,0,0
95,ice cream,baby,bed,cereal,3,22,1,1
96,pizza,TV,egg,duck,3,22,0,0
97,boots,jump,bread,hand,3,22,0,0
98,coat,melon,blue,pour,3,22,0,0
99,pants,cow,bottle,rock,3,22,0,0
100,shirt,chair,eat,soap,3,22,0,0
101,sock,apple,airplane,money,3,22,0,0
102,foot,sit,hair,light,3,22,0,0
103,knee,crayon,paper,ice cream,3,22,0,0
104,leg,cereal,grandpa,shake,3,22,0,0
105,tooth,tissue,penguin,beach,3,22,0,0
106,box,coat,eat,playground,3,22,0,0
107,brush,strawberry,wait,noisy,3,22,0,0
108,fork,dark,house,crayon,3,22,0,0
109,keys,cracker,popcorn,bear,3,24,0,0
110,paper,sit,daddy,chair,3,22,1,1
111,pillow,wet,frog,drawer,3,22,0,0
112,soap,kitty,puppy,cake,3,22,0,0
113,toothbrush,crayon,walk,keys,3,22,0,0
114,TV,head,bird,out,3,22,0,0
115,rain,dark,hug,bite,3,22,0,0
116,rock,dog,penguin,pig,3,22,0,0
117,swing,broken,cold,kick,3,22,0,0
118,home,hand,baby,bubbles,3,22,0,0
119,house,banana,cake,pick,3,22,0,0
120,nap,toy,giraffe,hair,3,22,0,0
121,bite,sink,cereal,hat,3,22,0,0
122,help,beach,horse,cookie,3,22,1,0
123,hug,up,morning,play,3,22,0,0
124,jump,frog,playground,sock,3,22,0,0
125,play,gloves,tongue,cookie,3,22,0,0
126,read,jump,pizza,bear,3,22,0,0
127,sit,fork,hair,lady,3,22,0,0
128,walk,knee,beach,tongue,3,22,0,0
129,blue,shake,hurry,truck,3,22,0,0
130,dirty,milk,kitchen,movie,3,22,1,0
131,wet,beach,hand,toothbrush,3,22,0,0
132,yucky,milk,drink,down,3,22,0,0
133,out,lion,turtle,hug,3,22,0,0
134,giraffe,cow,cookie,horse,4,24,0,0
135,teddybear,pig,grape,wolf,4,23,0,0
136,tiger,hi,hat,yucky,4,23,0,0
137,zebra,swing,pillow,help,4,24,0,0
138,firetruck,thirsty,bed,tongue,4,24,0,0
139,present,duck,bird,airplane,4,24,0,0
140,chocolate,bug,bus,shoe,4,24,0,0
141,popcorn,sweater,house,sit,4,24,0,0
142,strawberry,hat,soap,foot,4,23,0,0
143,sweater,pick,pizza,lion,4,22,0,0
144,tongue,soap,swing,boots,4,22,1,1
145,clock,eye,elephant,book,4,23,1,1
146,money,fish(animal),ball,lamp,4,23,0,0
147,plate,cracker,no,crayon,4,23,0,0
148,tissue,shoe,eat,flower,4,24,0,0
149,kitchen,cookie,house,cup,4,23,0,0
150,kick,mommy,chair,leg,4,24,0,0
151,ride,drawer,help,pick,4,23,1,0
152,broken,kitty,no,juice,4,23,1,0
153,hurt,hamburger,firetruck,tongue,4,24,0,0
154,hamburger,cat,grandpa,hush,5,25,1,1
155,shorts,comb,apple,shirt,5,25,0,0
156,bucket,TV,mouth,hurt,5,26,0,0
157,comb,yes,knee,kitty,5,25,0,0
158,scissors,bug,hamburger,hat,5,25,0,0
159,drawer,pig,train,kitchen,5,27,0,0
160,sink,cat,shirt,ankle,5,25,0,0
161,cloud,play,strawberry,chase,5,26,1,1
162,beach,hot,milk,monkey,5,27,0,0
163,give me five,grandma,fish(food),grape,5,25,1,0
164,turn around,keys,door,ride,5,26,0,0
165,climb,fish(animal),night night,sink,5,25,1,0
166,feed,giraffe,light,boat,5,26,0,0
167,pour,bread,nap,money,5,27,0,0
168,smile,car,crayon,bread,5,27,0,0
169,wait,boat,money,bubbles,5,26,0,0
170,write,chicken,cow,bucket,5,27,0,0
171,dark,wait,yes,popcorn,5,25,0,0
172,sick,bee,turn around,scissors,5,26,0,0
173,thirsty,horse,hush,boots,5,26,0,0
174,penguin,hush,kiss,hot,6,28,0,0
175,wolf,rock,ride,chair,6,28,0,0
176,melon,blanket,leg,cracker,6,28,0,0
177,gloves,brush,daddy,toe,6,28,0,0
178,slipper,bottle,smile,shirt,6,26,0,0
179,ankle,ice cream,brush,cow,6,30,0,0
180,lamp,eye,pig,TV,6,28,0,0
181,movie,nose,slipper,cold,6,28,1,1
182,playground,lion,hamburger,hair,6,28,0,0
183,clown,beach,fork,shake,6,28,0,0
184,lady,juice,wait,balloon,6,28,1,1
185,police,cracker,shoe,eat,6,28,0,0
186,chase,coat,ice cream,tooth,6,28,0,0
187,hurry,zebra,teddybear,fish(food),6,26,1,0
188,pick,keys,shoe,daddy,6,28,0,0
189,shake,dog,bee,movie,6,26,0,0
190,think,mommy,bee,comb,6,30,0,0
191,noisy,cat,TV,yes,6,28,0,0
192,morning,pig,crayon,money,6,28,0,0
193,on top of,grandma,door,coat,6,29,1,0
